videoname,original_width,original_height,label,original
aagfhgtpmv_0.mp4,1920.0,1080.0,FAKE,vudstovrck.mp4
aagfhgtpmv_1.mp4,1920.0,1080.0,FAKE,vudstovrck.mp4
aagfhgtpmv_2.mp4,1920.0,1080.0,FAKE,vudstovrck.mp4
aagfhgtpmv_3.mp4,1920.0,1080.0,FAKE,vudstovrck.mp4
aagfhgtpmv_4.mp4,1920.0,1080.0,FAKE,vudstovrck.mp4
aagfhgtpmv_5.mp4,1920.0,1080.0,FAKE,vudstovrck.mp4
aapnvogymq_0.mp4,1920.0,1080.0,FAKE,jdubbvfswz.mp4
aapnvogymq_1.mp4,1920.0,1080.0,FAKE,jdubbvfswz.mp4
aapnvogymq_2.mp4,1920.0,1080.0,FAKE,jdubbvfswz.mp4
aapnvogymq_3.mp4,1920.0,1080.0,FAKE,jdubbvfswz.mp4
aapnvogymq_4.mp4,1920.0,1080.0,FAKE,jdubbvfswz.mp4
aapnvogymq_5.mp4,1920.0,1080.0,FAKE,jdubbvfswz.mp4
abarnvbtwb_0.mp4,1920.0,1080.0,REAL,
abarnvbtwb_1.mp4,1920.0,1080.0,REAL,
abarnvbtwb_2.mp4,1920.0,1080.0,REAL,
abarnvbtwb_3.mp4,1920.0,1080.0,REAL,
abarnvbtwb_4.mp4,1920.0,1080.0,REAL,
abarnvbtwb_5.mp4,1920.0,1080.0,REAL,
abofeumbvv_0.mp4,1920.0,1080.0,FAKE,atvmxvwyns.mp4
abofeumbvv_1.mp4,1920.0,1080.0,FAKE,atvmxvwyns.mp4
abofeumbvv_2.mp4,1920.0,1080.0,FAKE,atvmxvwyns.mp4
abofeumbvv_3.mp4,1920.0,1080.0,FAKE,atvmxvwyns.mp4
abofeumbvv_4.mp4,1920.0,1080.0,FAKE,atvmxvwyns.mp4
abofeumbvv_5.mp4,1920.0,1080.0,FAKE,atvmxvwyns.mp4
abqwwspghj_0.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
abqwwspghj_1.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
abqwwspghj_2.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
abqwwspghj_3.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
abqwwspghj_4.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
abqwwspghj_5.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
acifjvzvpm_0.mp4,1920.0,1080.0,FAKE,kbvibjhfzo.mp4
acifjvzvpm_1.mp4,1920.0,1080.0,FAKE,kbvibjhfzo.mp4
acifjvzvpm_2.mp4,1920.0,1080.0,FAKE,kbvibjhfzo.mp4
acifjvzvpm_3.mp4,1920.0,1080.0,FAKE,kbvibjhfzo.mp4
acifjvzvpm_4.mp4,1920.0,1080.0,FAKE,kbvibjhfzo.mp4
acifjvzvpm_5.mp4,1920.0,1080.0,FAKE,kbvibjhfzo.mp4
acqfdwsrhi_0.mp4,1920.0,1080.0,FAKE,ccfoszqabv.mp4
acqfdwsrhi_1.mp4,1920.0,1080.0,FAKE,ccfoszqabv.mp4
acqfdwsrhi_2.mp4,1920.0,1080.0,FAKE,ccfoszqabv.mp4
acqfdwsrhi_3.mp4,1920.0,1080.0,FAKE,ccfoszqabv.mp4
acqfdwsrhi_4.mp4,1920.0,1080.0,FAKE,ccfoszqabv.mp4
acqfdwsrhi_5.mp4,1920.0,1080.0,FAKE,ccfoszqabv.mp4
acxnxvbsxk_0.mp4,1920.0,1080.0,FAKE,fjlyaizcwc.mp4
acxnxvbsxk_1.mp4,1920.0,1080.0,FAKE,fjlyaizcwc.mp4
acxnxvbsxk_2.mp4,1920.0,1080.0,FAKE,fjlyaizcwc.mp4
acxnxvbsxk_3.mp4,1920.0,1080.0,FAKE,fjlyaizcwc.mp4
acxnxvbsxk_4.mp4,1920.0,1080.0,FAKE,fjlyaizcwc.mp4
acxnxvbsxk_5.mp4,1920.0,1080.0,FAKE,fjlyaizcwc.mp4
acxwigylke_0.mp4,1080.0,1920.0,FAKE,ffcwhpnpuw.mp4
acxwigylke_1.mp4,1080.0,1920.0,FAKE,ffcwhpnpuw.mp4
acxwigylke_2.mp4,1080.0,1920.0,FAKE,ffcwhpnpuw.mp4
acxwigylke_3.mp4,1080.0,1920.0,FAKE,ffcwhpnpuw.mp4
acxwigylke_4.mp4,1080.0,1920.0,FAKE,ffcwhpnpuw.mp4
acxwigylke_5.mp4,1080.0,1920.0,FAKE,ffcwhpnpuw.mp4
aczrgyricp_0.mp4,1920.0,1080.0,FAKE,slwkmefgde.mp4
aczrgyricp_1.mp4,1920.0,1080.0,FAKE,slwkmefgde.mp4
aczrgyricp_2.mp4,1920.0,1080.0,FAKE,slwkmefgde.mp4
aczrgyricp_3.mp4,1920.0,1080.0,FAKE,slwkmefgde.mp4
aczrgyricp_4.mp4,1920.0,1080.0,FAKE,slwkmefgde.mp4
aczrgyricp_5.mp4,1920.0,1080.0,FAKE,slwkmefgde.mp4
adhsbajydo_0.mp4,1920.0,1080.0,FAKE,fysyrqfguw.mp4
adhsbajydo_1.mp4,1920.0,1080.0,FAKE,fysyrqfguw.mp4
adhsbajydo_2.mp4,1920.0,1080.0,FAKE,fysyrqfguw.mp4
adhsbajydo_3.mp4,1920.0,1080.0,FAKE,fysyrqfguw.mp4
adhsbajydo_4.mp4,1920.0,1080.0,FAKE,fysyrqfguw.mp4
adhsbajydo_5.mp4,1920.0,1080.0,FAKE,fysyrqfguw.mp4
adohikbdaz_0.mp4,1920.0,1080.0,FAKE,qjlhemtkxk.mp4
adohikbdaz_1.mp4,1920.0,1080.0,FAKE,qjlhemtkxk.mp4
adohikbdaz_2.mp4,1920.0,1080.0,FAKE,qjlhemtkxk.mp4
adohikbdaz_3.mp4,1920.0,1080.0,FAKE,qjlhemtkxk.mp4
adohikbdaz_4.mp4,1920.0,1080.0,FAKE,qjlhemtkxk.mp4
adohikbdaz_5.mp4,1920.0,1080.0,FAKE,qjlhemtkxk.mp4
adylbeequz_0.mp4,1920.0,1080.0,FAKE,dlpoieqvfb.mp4
adylbeequz_1.mp4,1920.0,1080.0,FAKE,dlpoieqvfb.mp4
adylbeequz_2.mp4,1920.0,1080.0,FAKE,dlpoieqvfb.mp4
adylbeequz_3.mp4,1920.0,1080.0,FAKE,dlpoieqvfb.mp4
adylbeequz_4.mp4,1920.0,1080.0,FAKE,dlpoieqvfb.mp4
adylbeequz_5.mp4,1920.0,1080.0,FAKE,dlpoieqvfb.mp4
aelfnikyqj_0.mp4,1920.0,1080.0,REAL,
aelfnikyqj_1.mp4,1920.0,1080.0,REAL,
aelfnikyqj_2.mp4,1920.0,1080.0,REAL,
aelfnikyqj_3.mp4,1920.0,1080.0,REAL,
aelfnikyqj_4.mp4,1920.0,1080.0,REAL,
aelfnikyqj_5.mp4,1920.0,1080.0,REAL,
aelzhcnwgf_0.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
aelzhcnwgf_1.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
aelzhcnwgf_2.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
aelzhcnwgf_3.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
aelzhcnwgf_4.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
aelzhcnwgf_5.mp4,1920.0,1080.0,FAKE,qzimuostzz.mp4
